sku,name,brand,category_path,description,image_url,color,material,width_cm,weight,ean,product_type,care_instructions,light_transmission,size,gender,model_number,compatibility,tyre_size,wheel_size,puncture_protection,connection,warranty
SKU-1104,De Groot Meubelstoffen 1104,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1104/300/300,Groen,,,,877888241104,Meubelstoffen,,,,,,,,,,,
SKU-1105,De Groot Meubelstoffen 1105,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1105/300/300,,100% linnen,150,,877888241105,Meubelstoffen,,,,,,,,,,,
SKU-1106,De Groot Meubelstoffen 1106,De Groot,Meubelstoffen > Effen,Korte tekst,https://picsum.photos/seed/1106/300/300,Blauw,100% katoen,,,877888241106,Meubelstoffen,,,,,,,,,,,
SKU-1107,De Groot Meubelstoffen 1107,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1107/300/300,Groen,,150,,877888241107,Meubelstoffen,,,,,,,,,,,
SKU-1108,De Groot Meubelstoffen 1108,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1108/300/300,,,140,,877888241108,Meubelstoffen,,,,,,,,,,,
SKU-1109,De Groot Meubelstoffen 1109,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1109/300/300,Zwart,,,,877888241109,Meubelstoffen,,,,,,,,,,,
SKU-1110,De Groot Meubelstoffen 1110,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1110/300/300,,,280,,877888241110,Meubelstoffen,,,,,,,,,,,
SKU-1111,De Groot Meubelstoffen 1111,De Groot,Meubelstoffen > Effen,Korte tekst,https://picsum.photos/seed/1111/300/300,Groen,100% linnen,150,,877888241111,Meubelstoffen,,,,,,,,,,,
SKU-1112,De Groot Meubelstoffen 1112,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1112/300/300,Zand,100% linnen,,,877888241112,Meubelstoffen,,,,,,,,,,,
SKU-1113,De Groot Meubelstoffen 1113,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1113/300/300,Blauw,100% linnen,140,,877888241113,Meubelstoffen,,,,,,,,,,,
SKU-1114,De Groot Meubelstoffen 1114,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1114/300/300,,"80% polyester, 20% linnen",150,,877888241114,Meubelstoffen,,,,,,,,,,,
SKU-1115,De Groot Meubelstoffen 1115,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1115/300/300,Wit,100% linnen,140,,877888241115,Meubelstoffen,,,,,,,,,,,
SKU-1116,De Groot Meubelstoffen 1116,De Groot,Meubelstoffen > Effen,Korte tekst,https://picsum.photos/seed/1116/300/300,Zwart,100% katoen,280,,877888241116,Meubelstoffen,,,,,,,,,,,
SKU-1117,De Groot Meubelstoffen 1117,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1117/300/300,Zwart,100% linnen,150,,877888241117,Meubelstoffen,,,,,,,,,,,
SKU-1118,De Groot Meubelstoffen 1118,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1118/300/300,Blauw,"80% polyester, 20% linnen",280,,877888241118,Meubelstoffen,,,,,,,,,,,
SKU-1119,De Groot Meubelstoffen 1119,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1119/300/300,Groen,100% katoen,280,,877888241119,Meubelstoffen,,,,,,,,,,,
SKU-1120,De Groot Meubelstoffen 1120,De Groot,Meubelstoffen > Effen,"De Groot artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1120/300/300,Zwart,,,,877888241120,Meubelstoffen,,,,,,,,,,,
